,Token,Weight
0,asshole,15.387599946958415
1,nigers,14.68593949828891
2,dull-witted,14.646839678599969
3,fuck,14.378510973096663
4,stupids,14.308970039843585
5,idiot-in-chief,14.308970039843585
6,fucking,13.744654084456227
7,fucks,13.708900646732221
8,idiot,13.574289275799533
9,idiot's,13.438253056788552
10,fucked,13.27900560794673
11,imbecile,13.176399699299905
12,idiots,13.131737243424723
13,fucker,12.753754882516482
14,nazi/fascist/white,12.753754882516482
15,moron,12.445587619678703
16,idiots;,12.308970039843585
17,a**clown,12.308970039843585
18,https://www.youtube.com/watch?v=3un052mvlji,12.308970039843585
19,niggers,12.122038613095583
20,morons,12.031937192419647
21,mencken’s,11.96912003695896
22,cunt,11.923679883958794
23,assholes,11.898891715154543
24,stupidity,11.842714993281373
25,idiot;,11.782901228175998
26,pussy-grabbing,11.782901228175998
27,shit,11.757261811356575
28,-h.l,11.524335194286065
29,longer...i,11.478895041285897
30,fuckin,11.476914677157657
31,fking,11.476914677157657
32,grabbin,11.443051225291374
33,buttsore,11.369999473241146
34,pussy,11.313941979558182
35,stupid,11.247090380332018
36,dumbass,11.231904647096366
37,bullshit,11.14173777617286
38,squads™,11.139045038401273
39,hurted,11.013514156317415
40,twat,10.99104387551372
41,stupidest,10.964885717470157
42,f-----g,10.95282622961831
43,fags,10.946399960458876
44,idiotic,10.924873956081939
45,blowjob,10.887983274233555
46,imbeciles,10.85230637197621
47,scumbag,10.798865870358883
48,stupid:,10.753754882516482
49,white-trash,10.753754882516482
50,f^ck,10.753754882516482
51,sebastion,10.753754882516482
52,f**k,10.638146802468592
53,slut,10.619310160455736
54,suckees,10.612976226733686
55,moron's,10.582651689876888
56,ignorants,10.539924474683458
57,pedofile,10.531362461180032
58,heart’s,10.453269611355257
59,bitch,10.433583885321202
60,p*ssy,10.397611072291205
61,whore,10.3176675494768
62,scum,10.310774164890509
63,horseshit,10.308970039843585
64,cunts,10.308970039843585
65,rapists;,10.308970039843585
66,hoodad,10.308970039843585
67,bats**t,10.308970039843585
68,none-too-favorable,10.308970039843585
69,controversially-employed,10.308970039843585
70,idiot:,10.308970039843585
71,obimbo,10.308970039843585
72,fool;,10.308970039843585
73,(stupid),10.308970039843585
74,☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀☠️💀🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘,10.308970039843585
75,🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💨💨💨💨💨💨💨💨💨💨💨,10.308970039843585
76,crowd-pleasers,10.308970039843585
77,frenzy—then,10.308970039843585
78,1-800-ohboofreakinghoohillarylost,10.308970039843585
79,excrement-spewing,10.308970039843585
80,hypocrite,10.258543993257613
81,dipshit,10.183439157759727
82,f***ing,10.144045719459639
83,ass,10.127491054098915
84,sing-song,10.086907415066097
85,bitches,9.998867380353012
86,bastard,9.988631942013363
87,stupider,9.976315538363165
88,pussies,9.96912003695896
89,#youcan'tfixstupid,9.96912003695896
90,vagina,9.955863940256695
91,pendejo,9.846864286907962
92,scumbags,9.790069292694746
93,imbecility,9.782901228175998
94,f******,9.768401658480883
95,faggot,9.74108105248137
96,penis,9.630861241405603
97,dickheads,9.58382988107417
98,idiots),9.58382988107417
99,stupidity:,9.58382988107417
100,hypocrital,9.58382988107417
101,faggots,9.58382988107417
102,c**k,9.58382988107417
103,baby-in-chief's,9.58382988107417
104,misogamy,9.58382988107417
105,idiocy,9.577766011685949
106,jackass,9.560035229209138
107,f*ck,9.516255568789825
108,f***,9.499877494420177
109,dork,9.478895041285897
110,nigga,9.478895041285897
111,fag,9.460973133288636
112,dumber,9.437927069410511
113,whores,9.384204449335634
114,sluts,9.376084235702121
